project_id,country,docty,doctype_short,lang,docdt,report_nb,guid,pdfurl,filename,size_bytes,status
P170734,Nigeria,Project Paper,ProjectPaper,English,2026-02-22,RES00538,099022226081017611,https://documents.worldbank.org/curated/en/099022226081017611/pdf/P170734-0b40c7fa-0eb9-426b-99a4-693924e79336.pdf,P170734_Nigeria_ProjectPaper_2026-02-22_RES00538_099022.pdf,579343,downloaded
P170734,Nigeria,Project Paper,ProjectPaper,English,2025-02-27,RES00538,099022725130519348,https://documents.worldbank.org/curated/en/099022725130519348/pdf/P170734-3a62c20b-1cc7-4685-b1d6-82bb731cd9d8.pdf,P170734_Nigeria_ProjectPaper_2025-02-27_RES00538_099022.pdf,482716,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-05-04,,816521620140981788,http://documents.worldbank.org/curated/en/816521620140981788/pdf/Final-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-05-04_816521.pdf,1613222,downloaded
P170734,Nigeria,Project Paper,ProjectPaper,English,2021-05-04,PAD4330,824961622253723691,http://documents.worldbank.org/curated/en/824961622253723691/pdf/Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-for-Results-Project.pdf,P170734_Nigeria_ProjectPaper_2021-05-04_PAD4330_824961.pdf,2342195,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-04-29,,453761619731259052,http://documents.worldbank.org/curated/en/453761619731259052/pdf/Draft-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-04-29_453761.pdf,1617861,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-04-29,,989071619738296756,http://documents.worldbank.org/curated/en/989071619738296756/pdf/Draft-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-04-29_989071.pdf,1617869,downloaded
P170734,Nigeria,Environmental and Social Commitment Plan,ESCP,English,2021-04-29,,879051619731151704,http://documents.worldbank.org/curated/en/879051619731151704/pdf/Environmental-and-Social-Commitment-Plan-ESCP-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESCP_2021-04-29_879051.pdf,245353,downloaded
P170734,Nigeria,Environmental and Social Commitment Plan,ESCP,English,2021-03-22,,945361616440027228,http://documents.worldbank.org/curated/en/945361616440027228/pdf/Environmental-and-Social-Commitment-Plan-ESCP-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESCP_2021-03-22_945361.pdf,245821,downloaded
P170734,Nigeria,Stakeholder Engagement Plan,SEP,English,2021-03-22,,340471616440053991,http://documents.worldbank.org/curated/en/340471616440053991/pdf/Stakeholder-Engagement-Plan-SEP-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_SEP_2021-03-22_340471.pdf,2118219,downloaded
P170734,Nigeria,Environmental and Social Review Summary,ESRS,English,2021-03-22,ESRSA01356,735261616440091169,http://documents.worldbank.org/curated/en/735261616440091169/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESRS_2021-03-22_ESRSA01356_735261.pdf,155041,downloaded
P170734,Nigeria,Stakeholder Engagement Plan,SEP,English,2021-03-22,,525471616436706648,http://documents.worldbank.org/curated/en/525471616436706648/pdf/Stakeholder-Engagement-Plan-SEP-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_SEP_2021-03-22_525471.pdf,2118219,downloaded
P170734,Nigeria,Program Information Document,PID,English,2021-03-21,PIDA240431,709031616337639975,http://documents.worldbank.org/curated/en/709031616337639975/pdf/Appraisal-Stage-Program-Information-Document-PID-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_PID_2021-03-21_PIDA240431_709031.pdf,295794,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-03-16,,422851615863885175,http://documents.worldbank.org/curated/en/422851615863885175/pdf/Draft-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-03-16_422851.pdf,1597218,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-03-16,,544001615855582030,http://documents.worldbank.org/curated/en/544001615855582030/pdf/Draft-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-03-16_544001.pdf,1597218,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-03-01,,884471614601655195,http://documents.worldbank.org/curated/en/884471614601655195/pdf/Draft-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-03-01_884471.pdf,1554516,downloaded
P170734,Nigeria,Program-for-Results Environmental and Social Systems Assessment,ESSA,English,2021-02-12,,881501613160234246,http://documents.worldbank.org/curated/en/881501613160234246/pdf/Draft-Environmental-and-Social-Systems-Assessment-ESSA-Nigeria-Sustainable-Urban-and-Rural-Water-Supply-Sanitation-and-Hygiene-Program-P170734.pdf,P170734_Nigeria_ESSA_2021-02-12_881501.pdf,1554524,downloaded
P170734,Nigeria,Project Information Document,PID,English,2019-09-30,PIDC26989,200281569860474398,http://documents.worldbank.org/curated/en/200281569860474398/pdf/Concept-Project-Information-Document-PID-NG-Sustainable-Rural-Water-Supply-and-Sanitation-Sector-Project-P170734.pdf,P170734_Nigeria_PID_2019-09-30_PIDC26989_200281.pdf,369090,downloaded
P178389,"Congo, Democratic Republic of",Social Assessment; Environmental and Social Assessment; Environmental Assessment,EA,French,2025-12-17,,099121725101014284,https://documents.worldbank.org/curated/en/099121725101014284/pdf/P178389-45c60294-ce0e-43f5-9884-f45fe2944e75.pdf,P178389_CongoDemocraticRepublicof_EA_2025-12-17_099121.pdf,9058869,downloaded
P178389,"Congo, Democratic Republic of",Social Assessment; Environmental Assessment; Environmental and Social Assessment,EA,French,2025-12-17,,099121725093034678,https://documents.worldbank.org/curated/en/099121725093034678/pdf/P178389-72d45279-0bad-4bba-a8f7-2a7f8927bcea.pdf,P178389_CongoDemocraticRepublicof_EA_2025-12-17_099121.pdf,9058869,present
P178389,"Congo, Democratic Republic of",Environmental and Social Management Plan; Resettlement Plan,ESMP,French,2025-12-10,,099121025042011164,https://documents.worldbank.org/curated/en/099121025042011164/pdf/P178389-393c3aad-4f4b-4686-8c6c-b0dc6a97d0c8.pdf,P178389_CongoDemocraticRepublicof_ESMP_2025-12-10_099121.pdf,7060230,downloaded
P178389,"Congo, Democratic Republic of",Resettlement Plan; Environmental and Social Management Plan,ESMP,French,2025-12-10,,099121025042016775,https://documents.worldbank.org/curated/en/099121025042016775/pdf/P178389-26e0c276-b3c1-493b-a9a5-f269d8c90487.pdf,P178389_CongoDemocraticRepublicof_ESMP_2025-12-10_099121.pdf,7060230,present
P178389,"Congo, Democratic Republic of",Environmental and Social Management Plan; Resettlement Plan,ESMP,French,2025-11-23,,099112325061024954,https://documents.worldbank.org/curated/en/099112325061024954/pdf/P178389-d346c411-cee4-430f-9af1-b69b0ee09f9a.pdf,P178389_CongoDemocraticRepublicof_ESMP_2025-11-23_099112.pdf,977290,downloaded
