project_id,country,project_name,commitment_usd,n_docs_scanned,lead_metal_keyword_hits,lead_rows_in_tables,real_lead_water_rows,lead_table_classes,verdict,region,lending_instrument,ibrd_amount,ida_amount,grant_amount
P513580,South Africa,South Africa's Infrastructure Modernization and Job Creation DPL,1500000000,2,0,0,0,,absent,Eastern and Southern Africa,,1500000000,0,0
P507504,Philippines,Philippines Sustainable Agriculture Transformation Program,1000000000,6,3,3,0,,mentioned,East Asia and Pacific,,1000000000,0,0
P505813,South Africa,South Africa Metro Trading Services Program,925000000,7,5,0,0,,mentioned,Eastern and Southern Africa,,925000000,0,0
P181389,Philippines,Philippines First  Energy Transition and Climate Resilience DPL,800000000,3,0,0,0,,absent,East Asia and Pacific,,800000000,0,0
P501037,Uzbekistan,Second Inclusive and Resilient Market Economy Development Policy Operation,800000000,3,0,0,0,,absent,Europe and Central Asia,,260000000,540000000,0
P163732,Tanzania,Sustainable Rural Water Supply and Sanitation Program,650000000,9,0,0,0,,absent,Eastern and Southern Africa,,0,0,0
P510631,Thailand,Chao Phraya Flood Management Plan 2,610000000,2,0,0,0,,absent,East Asia and Pacific,,610000000,0,270000000
P511300,Uganda,Uganda Cities and Municipalities Infrastructure Development (UCMID),540000000,13,0,0,0,,absent,Eastern and Southern Africa,,0,540000000,0
P513708,Ghana,Ghana Market Access and Connectivity Project,500000000,12,1,1,1,effluent,effluent-only,Western and Central Africa,,0,500000000,0
P181263,Peru,Green and Resilient Development for a Decarbonized Economy in Peru,500000000,3,0,0,0,,absent,Latin America and Caribbean,,500000000,0,0
P512898,India,Water Secure Haryana Program,500000000,5,27,3,0,,mentioned,South Asia,,500000000,0,0
P510383,Brazil,Bioeconomy and Sustainable Regional Development project,500000000,2,0,0,0,,absent,Latin America and Caribbean,,500000000,0,0
P509251,Central Asia,Kambarata-1 HPP: Sustainable and Transformational Energy Project,500000000,16,44,3,0,,mentioned,Europe and Central Asia,,0,500000000,15000000
P179684,Nigeria,Sustainable Power and Irrigation for Nigeria Project,500000000,11,5,0,0,,mentioned,Western and Central Africa,,0,500000000,0
P508541,Turkiye,PRIME Regional Development PforR,450000000,1,0,0,0,,absent,Europe and Central Asia,,450000000,0,0
P506272,India,Karnataka Water Security and Resilience Program,426000000,7,17,0,0,,mentioned,South Asia,,426000000,0,0
