Project_ID,Country,Short_Name,N_Documents,Lead_Metal_Hits,Heavy_Metals_Mentioned,Lead_Any_Count,Water_Quality_Parameters_Named
P151224,Angola,WSIDP2,9,0,No,35,"chlorine, iron, manganese"
P163732,Tanzania,SRWSSP,9,0,No,74,"E. coli, arsenic, chlorine, fluoride, iron, mercury, salinity, turbidity"
P163782,Uganda,IWMDP,11,9,Yes,526,"BOD, COD, E. coli, arsenic, cadmium, chlorine, coliform, copper, iron, manganese, mercury, microbial, nitrate, salinity, turbidity, zinc"
P164186,Benin,Rural Water,6,0,No,41,"chlorine, iron"
P164345,Burkina Faso,WSS Program,7,0,No,44,iron
P169342,Bangladesh,RWSSHC,13,0,No,50,"E. coli, arsenic, chlorine, coliform, fluoride, iron, manganese, microbial, salinity"
P170734,Nigeria,SURWASH,17,0,No,674,BOD
P171422,?,?,17,9,Yes,101,"BOD, COD, E. coli, arsenic, cadmium, chlorine, coliform, copper, fluoride, iron, manganese, mercury, microbial, nitrate, salinity, turbidity, zinc"
P176429,?,?,10,1,Yes,40,"E. coli, arsenic, coliform, fluoride, iron, salinity"
P176619,Jordan,Water Efficiency,18,6,Yes,101,"chlorine, salinity"
P177146,?,?,17,0,No,67,turbidity
P178389,DRC,PASEA,15,2,Yes,100,"chlorine, iron"
P178687,?,?,3,0,No,28,
P178954,Malawi,WSP-I,14,7,Yes,221,"BOD, COD, cadmium, chlorine, coliform, copper, iron, mercury, nitrate, turbidity, zinc"
P179017,?,?,13,5,Yes,45,"E. coli, chlorine, iron, nitrate, turbidity, zinc"
P179039,India,Karnataka Rural Water,7,8,Yes,139,"BOD, E. coli, arsenic, cadmium, chlorine, coliform, fluoride, iron, nitrate, salinity"
P179067,?,?,15,2,Yes,67,"BOD, COD, coliform, nitrate, salinity"
P179192,Morocco,Water Security,6,0,No,43,"BOD, COD, chlorine"
P179227,?,?,9,0,No,35,
P179643,?,?,11,0,No,72,"chlorine, manganese, salinity"
P179684,?,?,11,5,Yes,136,"COD, iron, manganese, microbial, salinity, turbidity"
P179770,?,?,11,0,No,55,"nitrate, zinc"
P179781,?,?,6,0,No,19,
P180017,?,?,3,0,No,29,
P180321,?,?,8,2,Yes,31,"iron, nitrate"
P180429,?,?,9,4,Yes,31,"chlorine, nitrate, turbidity"
P180533,?,?,6,0,No,19,
P181029,?,?,26,10,Yes,842,"BOD, COD, chlorine, coliform, copper, iron, manganese, mercury, microbial, nitrate, salinity, turbidity, zinc"
P181046,?,?,2,0,No,6,
P181064,?,?,11,1,Yes,57,"BOD, COD, E. coli, coliform"
P181263,?,?,3,0,No,30,copper
P181344,?,?,2,0,No,20,
P181389,?,?,3,0,No,40,
P181501,?,?,3,0,No,25,
P181538,?,?,10,1,No,31,turbidity
P181603,?,?,3,0,No,30,
P181702,?,?,3,10,Yes,69,"BOD, COD, arsenic, cadmium, chlorine, coliform, copper, iron, manganese, mercury, nitrate, salinity, turbidity, zinc"
P500620,?,?,9,4,Yes,76,"arsenic, chlorine, coliform, copper, fluoride, iron, microbial, nitrate, turbidity, zinc"
P501037,?,?,3,0,No,19,
P504170,?,?,11,0,No,27,"BOD, chlorine, coliform, iron, mercury, nitrate"
P504998,?,?,9,0,No,37,
P505093,?,?,8,0,No,27,"BOD, COD, coliform, iron, salinity"
P505271,?,?,7,1,No,25,
P505546,?,?,8,5,Yes,41,"coliform, nitrate"
P505562,?,?,12,0,No,51,"fluoride, salinity"
P505581,?,?,5,0,No,13,
P505813,?,?,7,5,Yes,166,"COD, E. coli, coliform, nitrate, turbidity"
P506027,?,?,2,0,No,6,
P506272,?,?,7,17,Yes,119,"BOD, COD, E. coli, arsenic, cadmium, coliform, microbial, nitrate, turbidity"
P506340,?,?,6,0,No,32,
P506439,?,?,13,0,No,64,chlorine
P506770,?,?,10,14,Yes,62,"BOD, E. coli, salinity, turbidity"
P506807,?,?,15,3,Yes,82,"BOD, COD, microbial"
P507116,?,?,3,0,No,12,copper
P507147,?,?,1,0,No,2,
P507207,?,?,9,0,No,40,turbidity
P507256,?,?,9,1,No,37,"COD, nitrate"
P507433,?,?,7,0,No,50,"microbial, nitrate"
P507504,?,?,6,3,Yes,187,"chlorine, microbial, nitrate"
P507588,?,?,12,4,Yes,118,"BOD, COD, E. coli, arsenic, cadmium, chlorine, coliform, copper, fluoride, iron, mercury, nitrate, zinc"
P507658,?,?,9,15,Yes,107,"BOD, COD, E. coli, arsenic, cadmium, chlorine, coliform, copper, iron, manganese, microbial, nitrate, salinity, turbidity, zinc"
P507749,?,?,8,0,No,24,
P507888,?,?,10,0,No,58,
P507912,?,?,3,0,No,32,salinity
P507944,?,?,7,0,No,24,"arsenic, cadmium, nitrate, turbidity, zinc"
P507957,?,?,6,0,No,29,
P507962,?,?,3,0,No,13,"copper, manganese"
P508001,?,?,2,0,No,4,
P508034,?,?,2,3,Yes,10,"E. coli, arsenic, cadmium, nitrate, salinity"
P508094,?,?,11,6,Yes,108,"BOD, COD, arsenic, chlorine, iron, nitrate, salinity"
P508124,?,?,9,4,Yes,68,"arsenic, chlorine, iron, manganese, microbial, nitrate, turbidity"
P508202,?,?,6,0,No,31,
P508221,?,?,10,0,No,34,turbidity
P508320,?,?,2,0,No,7,
P508364,?,?,8,10,Yes,163,"cadmium, mercury, microbial, nitrate, salinity, zinc"
P508450,?,?,2,0,No,10,
P508541,?,?,1,0,No,3,
P508608,?,?,2,0,No,22,
P508674,?,?,5,4,No,34,turbidity
P508689,?,?,3,0,No,19,
P508698,?,?,9,0,No,79,chlorine
P508792,?,?,2,0,No,10,
P508930,?,?,8,0,No,38,iron
P509041,?,?,9,0,No,54,
P509225,?,?,10,0,No,44,"iron, zinc"
P509251,?,?,8,44,Yes,382,"BOD, COD, arsenic, cadmium, coliform, iron, mercury, microbial, nitrate, turbidity, zinc"
P509293,?,?,7,0,No,13,
P509357,?,?,2,0,No,11,
P509563,?,?,2,0,No,9,
P509605,?,?,2,0,No,7,
P509738,?,?,9,0,No,88,
P509756,?,?,3,0,No,19,
P509890,?,?,9,1,No,159,chlorine
P510120,?,?,3,0,No,10,
P510227,?,?,6,0,No,20,"chlorine, turbidity"
P510359,?,?,9,1,Yes,68,"BOD, E. coli, arsenic, chlorine, coliform, iron, microbial, salinity, turbidity"
P510383,?,?,2,0,No,17,
P510631,?,?,2,0,No,8,
P510638,?,?,1,0,No,7,
P510667,?,?,2,0,No,10,coliform
P510690,?,?,9,0,No,111,turbidity
P510691,?,?,2,0,No,8,
P510696,?,?,7,0,No,25,copper
P510697,?,?,8,0,No,101,
P510901,?,?,2,0,No,3,
P511300,?,?,13,0,No,95,
P511417,?,?,2,0,No,11,
P511426,?,?,6,0,No,11,
P511489,?,?,6,0,No,14,"copper, iron, zinc"
P511492,?,?,9,0,No,47,salinity
P511557,?,?,6,84,No,16,BOD
P511605,?,?,11,2,No,85,"COD, salinity, turbidity"
P511719,?,?,7,0,No,41,"iron, salinity, zinc"
P511840,?,?,7,0,No,41,
P512214,?,?,3,0,No,9,
P512407,?,?,13,135,Yes,465,"BOD, COD, E. coli, arsenic, cadmium, chlorine, coliform, copper, iron, manganese, mercury, microbial, nitrate, salinity, turbidity, zinc"
P512645,?,?,2,0,No,6,
P512663,?,?,4,4,Yes,68,"COD, turbidity"
P512709,?,?,1,0,No,2,
P512715,?,?,6,0,No,30,
P512898,?,?,5,27,Yes,81,"BOD, COD, E. coli, arsenic, cadmium, coliform, microbial, nitrate, salinity, turbidity"
P512939,?,?,1,0,No,2,
P512975,?,?,6,0,No,21,
P513113,?,?,2,0,No,14,"E. coli, fluoride, iron, nitrate, salinity"
P513248,?,?,7,1,Yes,79,"BOD, COD, turbidity"
P513301,?,?,2,0,No,9,
P513341,?,?,2,0,No,9,
P513349,?,?,9,0,No,31,
P513389,?,?,7,3,Yes,71,"chlorine, copper, mercury, microbial, turbidity"
P513580,?,?,2,0,No,10,
P513708,?,?,12,1,No,101,"BOD, COD, coliform, copper, manganese, turbidity"
P513815,?,?,5,0,No,17,
P514166,?,?,7,0,No,30,
P514199,?,?,9,0,No,68,turbidity
P514272,?,?,2,0,No,7,
P514340,?,?,8,0,No,39,"iron, nitrate, salinity, turbidity"
P514502,?,?,8,0,No,28,zinc
P515014,?,?,2,0,No,11,mercury
P515255,?,?,8,35,Yes,103,"BOD, COD, E. coli, coliform, iron, salinity, turbidity"
