project_id,pdf,page,classification,score,parameter,value,unit,raw_line
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,31,baseline;surface,6,Conductivity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,31,baseline;surface,6,TDS,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,31,baseline;surface,6,Temperature,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,31,baseline;surface,6,pH,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,BOD,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,COD,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Cadmium,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Coliform,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Color,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Conductivity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Iron,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Lead,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Manganese,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Nickel,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Turbidity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,32,groundwater;surface,12,Zinc,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,pH,6.94,,pH                    6.94          7.39          6.79          7.25       7.49       6-8     6.5-8.5   6-9
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,Temperature,21,°C,"Temperature, °C       21            21            21            21         21         20-35   ns        ns"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,Turbidity,20,NTU,"Turbidity, NTU        20            22            70            35         20         ns      5         ns"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,Color,174,,"Apparent colour,      174           195           449           285        229        100     15        ns"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,BOD,31,mg/l,"BOD5, mg/l            31            28            43            24         23         30      ns        50"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,COD,45,mg/l,"COD, mg/l             45            43            62            35         34         100     ns        ns"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,Iron,1.0,mg/l,"Iron, mg/l            1.0           1.0           1.3           1.7        1.0        5       0.3       3.5"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,Manganese,0.04,mg/l,"Manganese, mg/l       0.04          0.05          0.08          0.06       0.03       1       0.2       ns"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,37,drinking;effluent,19,BOD,5,,"with regard to all the measured parameters except for apparent colour, BOD 5 and TTCs."
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,38,drinking;effluent;groundwater;surface,11,BOD,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,38,drinking;effluent;groundwater;surface,11,Chloride,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,38,drinking;effluent;groundwater;surface,11,Coliform,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,38,drinking;effluent;groundwater;surface,11,Color,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,38,drinking;effluent;groundwater;surface,11,Iron,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2013-11-01_SFG3693_612051.pdf,38,drinking;effluent;groundwater;surface,11,Turbidity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,BOD,50,,BOD5 (mg/l)                                                                                   50
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,Coliform,10,,"Faecal coliforms (counts/ 100ml)                                                            10,000"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,pH,6-8,,pH                                                                                           6-8
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,Phenol,0.2,,Phenols (mg/l)                                                                                0.2
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,Oil_grease,10,,Oil and grease (mg/l)                                                                         10
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,Temperature,20-35,,Temperature (oC)                                                                            20-35
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,pH,6–9,mg/l,pH                                                          mg/l                                           6–9
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,BOD,30,mg/l,BOD                                                         mg/l                                            30
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,COD,125,mg/l,COD                                                         mg/l                                           125
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,Oil_grease,10,mg/l,Oil and grease                                              mg/l                                            10
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,114,effluent,18,TSS,50,mg/l,Total suspended solids                                      mg/l                                            50
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,Chloride,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,Color,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,Iron,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,Sulfate,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,TDS,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,Turbidity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,132,drinking;surface,14,pH,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Chloride,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Color,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Iron,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Nitrate,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Salinity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Sulfate,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,TDS,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Temperature,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,Turbidity,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,157,drinking;effluent;surface,15,pH,,,"[mentioned, no parsable row]"
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,158,effluent;surface,19,pH,6.75,,pH                                        6.75         8.08      8.08       7.64      6.5      6.75       6.75         6.75       6.75       6.70       6.5 – 8.5
P163782,P163782_Uganda_EA_2016-12-01_SFG3693_924311.pdf,158,effluent;surface,19,Turbidity,5.49,NTU,Turbidity                 NTU             5.49         4.62       4.8       4.97     7.87      8.35       7.69         7.97       11.2       8.62           5
