Project_ID,Project_Name,Country,Approval_Date,Status,Total_Commitment_USD,Sector_Codes
P513580,South Africa's Infrastructure Modernization and Job Creation DPL,South Africa,2026-06-18,Pipeline,1500000000,"LLP,LLT,TTF,TTW,WWA,WWC"
P507504,Philippines Sustainable Agriculture Transformation Program,Philippines,2026-03-27,Active,1000000000,"AAB,AAF,AAH,AAI,AAK,AAL,AAT,SSA,WWC,YYA"
P505813,South Africa Metro Trading Services Program,South Africa,2025-11-07,Active,925000000,"BBH,LLZ,WWA,WWB,WWC"
P181389,Philippines First  Energy Transition and Climate Resilience DPL,Philippines,2025-03-31,Active,800000000,"LLP,LLT,LLW,LLZ,WWA,WWC"
P501037,Second Inclusive and Resilient Market Economy Development Policy Operation,Uzbekistan,2024-10-03,Active,800000000,"AAZ,BBC,BBZ,LLG,LLP,NNC,TTW,WWW,YYZ"
P163732,Sustainable Rural Water Supply and Sanitation Program,Tanzania,2018-06-26,Closed,650000000,"WA,WC,WF"
P510631,Chao Phraya Flood Management Plan 2,Thailand,2027-02-17,Pipeline,610000000,"AAI,BBH,NNI,SSA,WWF,WWW"
P511300,Uganda Cities and Municipalities Infrastructure Development (UCMID),Uganda,2026-03-31,Active,540000000,"BBH,NNC,TTF,WWA,WWB,WWC"
P513708,Ghana Market Access and Connectivity Project,Ghana,2026-05-28,Pipeline,500000000,"AAK,NNI,TTF,TTI,WWC,YYA"
P181263,Green and Resilient Development for a Decarbonized Economy in Peru,Peru,2025-03-26,Active,500000000,"AAT,BBZ,LLP,TTZ,WWA,WWC"
P512898,Water Secure Haryana Program,India,2026-07-30,Pipeline,500000000,"AAB,AAH,AAI,AAK,WWA,WWW"
P510383,Bioeconomy and Sustainable Regional Development project,Brazil,2027-03-30,Pipeline,500000000,"AAI,AAK,AAT,NNI,WWW,YYA"
P509251,Kambarata-1 HPP: Sustainable and Transformational Energy Project,Central Asia,2026-10-09,Pipeline,500000000,"BBC,LLH,LLP,LLT,NNF,SSA,WWW"
P179684,Sustainable Power and Irrigation for Nigeria Project,Nigeria,2024-09-26,Active,500000000,"AAI,LLH,LLZ,WWF,WWW"
P508541,PRIME Regional Development PforR,Turkiye,2026-01-15,Dropped,450000000,"AAI,AAK,BBH,LLP,NNF,WWW,YYA,YYF,YYT"
P506272,Karnataka Water Security and Resilience Program,India,2025-06-23,Active,426000000,"BBH,WWA,WWC,WWF,WWW"
P170734,"Nigeria Sustainable Urban and Rural Water Supply, Sanitation and Hygiene Program-for-Results",Nigeria,2021-05-25,Active,410000000,"WA,WC,WF"
